Product, ActualPeriod, ForecastPeriod, OrderAmount
Product 1,1,1,620
Product 1,1,2,640
Product 1,1,3,814
Product 1,1,4,525
Product 1,1,5,761
Product 1,1,6,582
Product 1,1,7,644
Product 1,1,8,576
Product 1,1,9,572
Product 1,1,10,472
Product 1,2,2,520
Product 1,2,3,709
Product 1,2,4,533
Product 1,2,5,885
Product 1,2,6,583
Product 1,2,7,757
Product 1,2,8,644
Product 1,2,9,550
Product 1,2,10,473
Product 1,2,11,650
Product 1,3,3,550
Product 1,3,4,470
Product 1,3,5,797
Product 1,3,6,738
Product 1,3,7,726
Product 1,3,8,644
Product 1,3,9,616
Product 1,3,10,486
Product 1,3,11,709.5
Product 1,3,12,676.5
Product 1,4,4,370
Product 1,4,5,803
Product 1,4,6,649
Product 1,4,7,961
Product 1,4,8,689
Product 1,4,9,638
Product 1,4,10,495
Product 1,4,11,503.2
Product 1,4,12,514.3
Product 1,4,13,517.26
Product 1,5,5,590
Product 1,5,6,621
Product 1,5,7,862
Product 1,5,8,818
Product 1,5,9,669
Product 1,5,10,531
Product 1,5,11,708
Product 1,5,12,731.6
Product 1,5,13,767
Product 1,5,14,778.8
Product 1,6,6,470
Product 1,6,7,831
Product 1,6,8,812
Product 1,6,9,847
Product 1,6,10,563
Product 1,6,11,578.1
Product 1,6,12,592.2
Product 1,6,13,606.3
Product 1,6,14,620.4
Product 1,6,15,625.1
Product 1,7,7,620
Product 1,7,8,695
Product 1,7,9,781
Product 1,7,10,675
Product 1,7,11,731.6
Product 1,7,12,737.8
Product 1,7,13,775
Product 1,7,14,793.6
Product 1,7,15,806
Product 1,7,16,818.4
Product 1,8,8,560
Product 1,8,9,693
Product 1,8,10,630
Product 1,8,11,677.6
Product 1,8,12,672
Product 1,8,13,700
Product 1,8,14,677.6
Product 1,8,15,700
Product 1,8,16,716.8
Product 1,8,17,744.8
Product 1,9,9,550
Product 1,9,10,585
Product 1,9,11,660
Product 1,9,12,682
Product 1,9,13,715
Product 1,9,14,693
Product 1,9,15,687.5
Product 1,9,16,704
Product 1,9,17,709.5
Product 1,9,18,726
Product 1,10,10,450
Product 1,10,11,585
Product 1,10,12,540
Product 1,10,13,553.5
Product 1,10,14,765
Product 1,10,15,504
Product 1,10,16,553.5
Product 1,10,17,558
Product 1,10,18,580.5
Product 1,10,19,598.5
